k,accuracy
0,0.985750
1,0.983750
2,0.983000
3,0.978500
4,0.969750
5,0.972250
6,0.973500
7,0.967750
8,0.967250
9,0.966000
10,0.953750
11,0.954500
12,0.943500
13,0.941500
14,0.951000
15,0.941250
16,0.951000
17,0.936250
18,0.935250
19,0.934250
20,0.932750
21,0.919750
22,0.913000
23,0.897250
24,0.871000
25,0.861750
26,0.869250
27,0.873500
28,0.896500
29,0.890750
30,0.887250
31,0.872500
32,0.859250
33,0.830750
34,0.829500
35,0.806250
36,0.781750
37,0.766250
38,0.749250
39,0.732750
40,0.749250
41,0.754250
42,0.697000
43,0.702250
44,0.702250
45,0.667000
46,0.695250
47,0.703500
48,0.693750
49,0.701750
50,0.684250
51,0.672500
52,0.680500
53,0.649750
54,0.634250
55,0.659500
56,0.623250
57,0.615750
58,0.612250
59,0.591000
60,0.600500
61,0.582000
62,0.553750
63,0.552250
64,0.546250
65,0.557500
66,0.553500
67,0.541000
68,0.549250
69,0.561500
70,0.542750
71,0.579750
72,0.570000
73,0.574000
74,0.580500
75,0.553250
76,0.553500
77,0.579000
78,0.576000
79,0.585250
80,0.566250
81,0.568500
82,0.556500
83,0.527250
84,0.552500
85,0.555500
86,0.546000
87,0.510500
88,0.516750
89,0.515000
90,0.515000
91,0.519000
92,0.518500
93,0.531000
94,0.529000
95,0.518750
96,0.523000
97,0.526000
98,0.532000
99,0.502500
100,0.509750
101,0.507250
102,0.509250
103,0.502000
104,0.494250
105,0.492500
106,0.510000
107,0.494750
108,0.520250
109,0.517250
110,0.505250
111,0.509500
112,0.502500
113,0.508250
114,0.518750
115,0.513750
116,0.505250
117,0.509750
118,0.523000
119,0.536500
120,0.509000
121,0.525250
122,0.502750
123,0.516500
124,0.504750
125,0.500000
126,0.520500
127,0.496250
